MT05 , 222414 , 120863 , 51920 , NA , 13537503786 , 20501735892 , 13537746868 , 84 , 251 , 763 , 763 , 0 , 0 , 84 , 251 , 0 , 0 , 847 , 847 , 0 , 0 , 0 , 0 , 120863 , 119637 , 120863 , 119637 , 7620593000 , 8274337000 , 2808778000 , 3514978000 , 4439043000 , 3697037000
MT10 , 233879 , 132234 , 92302 , NA , 14535394982 , 21802045604 , 14535635452 , 84 , 251 , 763 , 763 , 0 , 0 , 84 , 251 , 0 , 0 , 847 , 847 , 0 , 0 , 0 , 0 , 132234 , 133198 , 132234 , 133198 , 8536363000 , 9264951000 , 3671777000 , 4470695000 , 4424944000 , 3782654000
MT15 , 583767 , 482024 , 1314697 , NA , 7791137638 , 14130315470 , 8320160830 , 84 , 251 , 763 , 763 , 0 , 0 , 84 , 251 , 0 , 0 , 847 , 847 , 0 , 0 , 0 , 0 , 482027 , 561138 , 482024 , 561138 , 18534235000 , 19347843000 , 6836766000 , 9585817000 , 8682364000 , 8877895000
MT20 , 11758117 , 11656275 , 59214087 , NA , 2855491396 , 8946370356 , 3362534212 , 84 , 251 , 763 , 763 , 0 , 0 , 84 , 251 , 0 , 0 , 847 , 847 , 0 , 0 , 0 , 0 , 11656278 , 14244760 , 11656275 , 14244760 , 353667127000 , 343956517000 , 102376454000 , 202844532000 , 187484474000 , 238924386000
S00 , 4 , 1 , 0 , 208 , 638 , 712 , 696 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 195911000 , 161166000 , 59674000 , 65346000 , 121116000 , 106145000
S01 , 6 , 2 , 0 , 472 , 1132 , 1270 , 1190 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 2 , 0 , 191138000 , 175353000 , 65304000 , 68549000 , 102761000 , 101705000
S02 , 10 , 5 , 0 , 1288 , 2210 , 2716 , 2268 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5 , 2 , 5 , 2 , 174705000 , 185997000 , 63952000 , 71948000 , 106227000 , 105884000
S05 , 66 , 58 , 0 , 53032 , 18292 , 63742 , 18350 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 58 , 52 , 58 , 52 , 191504000 , 217861000 , 65123000 , 73424000 , 142032000 , 138861000
S10 , 2050 , 2037 , 0 , 50454568 , 597170 , 50798380 , 597228 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2037 , 2026 , 2037 , 2026 , 527074000 , 503623000 , 68287000 , 134632000 , 691284000 , 682749000
S15 , 65538 , 65520 , 0 , NA , 870732 , 2344390182 , 870790 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 65520 , 65504 , 65520 , 65504 , 2497079000 , 2464810000 , 114193000 , 948328000 , 1960234000 , 2070480000
S20 , 2097154 , 2097131 , 0 , NA , 874144 , 10581944586 , 874202 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2097131 , 2097110 , 2097131 , 2097110 , 26642889000 , 22400711000 , 377046000 , 2899358000 , 28670859000 , 31020605000
U00 , 4 , 1 , 0 , 208 , 638 , 712 , 696 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 158959000 , 161325000 , 58298000 , 66229000 , 102387000 , 98091000
U01 , 6 , 1 , 0 , 472 , 1248 , 1354 , 1306 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 171343000 , 183971000 , 63179000 , 67963000 , 104983000 , 100746000
U02 , 10 , 1 , 0 , 1288 , 3260 , 3430 , 3318 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 171754000 , 178853000 , 63247000 , 70643000 , 111752000 , 102026000
U05 , 66 , 1 , 0 , 53032 , 142308 , 143374 , 142366 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 188909000 , 219825000 , 63767000 , 71392000 , 141119000 , 130462000
U10 , 2050 , 1 , 0 , 50454568 , 138631460 , 138664270 , 138631518 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 538699000 , 573580000 , 74346000 , 117001000 , 686456000 , 601454000
U15 , 65538 , 1 , 0 , NA , 6445084574 , 6445132296 , 6445084632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 2548522000 , 2831652000 , 129103000 , 339213000 , 2348006000 , 1675236000
U20 , 2097154 , 1 , 420 , NA , 207269290150 , 207269293776 , 207269290208 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 34375886000 , 38691955000 , 391154000 , 3960472000 , 45822276000 , 36658123000
